"Tortoise_ID","Effort","Plant_Species","N_Interactions","Freq_browsing"
"T01",28.45,"Commelina benghalensis",3,10.5448154657294
"T01",28.45,"Panicum brevifolium",1,3.51493848857645
"T02",32.08,"Asystasia gangetica",2,6.23441396508728
"T02",32.08,"Commelina benghalensis",2,6.23441396508728
"T03",5.63,NA,NA,NA
"T05",30.42,NA,NA,NA
"T06",11.27,"Kyllinga polyphylla",1,8.87311446317658
"T06",11.27,"Megathyrsus maximus",1,8.87311446317658
"T07",13.08,"Asystasia gangetica",3,22.9357798165138
"T07",13.08,"Digitaria horizontalis",1,7.64525993883792
"T07",13.08,"Megathyrsus maximus",2,15.2905198776758
"T08",35.13,"Amaranthus dubius",2,5.69313976658127
"T08",35.13,"Artocarpus altilis",1,2.84656988329063
"T08",35.13,"Asystasia gangetica",8,22.7725590663251
"T08",35.13,"Commelina benghalensis",16,45.5451181326502
"T08",35.13,"Digitaria horizontalis",2,5.69313976658127
"T08",35.13,"Kyllinga polyphylla",1,2.84656988329063
"T08",35.13,"Musa sp.",1,2.84656988329063
"T08",35.13,"Panicum brevifolium",1,2.84656988329063
"T10",19.5,NA,NA,NA
"T11",28.48,"Amaranthus dubius",1,3.51123595505618
"T11",28.48,"Asystasia gangetica",1,3.51123595505618
"T11",28.48,"Commelina benghalensis",9,31.6011235955056
"T12",11.78,"Asystasia gangetica",1,8.48896434634975
