"Tortoise_ID","Effort","Plant_Species","N_Interactions","Freq_detritivory"
"T01",28.45,"Ficus reflexa",1,3.51493848857645
"T01",28.45,"Pisonia grandis",4,14.0597539543058
"T02",32.08,"Artocarpus altilis",1,3.11720698254364
"T02",32.08,"Ficus reflexa",1,3.11720698254364
"T02",32.08,"Pisonia grandis",1,3.11720698254364
"T03",5.63,"Pisonia grandis",1,17.7619893428064
"T05",30.42,"Ficus reflexa",12,39.4477317554241
"T05",30.42,"Pisonia grandis",12,39.4477317554241
"T06",11.27,"Pisonia grandis",2,17.7462289263532
"T07",13.08,"Euphorbia pyrifolia",1,7.64525993883792
"T07",13.08,"Pisonia grandis",2,15.2905198776758
"T08",35.13,"Artocarpus altilis",10,28.4656988329063
"T08",35.13,"Morinda citrifolia",1,2.84656988329063
"T08",35.13,"Pisonia grandis",5,14.2328494164532
"T08",35.13,"Terminalia catappa",1,2.84656988329063
"T10",19.5,"Euphorbia pyrifolia",1,5.12820512820513
"T10",19.5,"Ficus reflexa",6,30.7692307692308
"T10",19.5,"Pisonia grandis",6,30.7692307692308
"T11",28.48,"Ficus reflexa",2,7.02247191011236
"T11",28.48,"Pisonia grandis",4,14.0449438202247
"T12",11.78,"Ficus reflexa",1,8.48896434634975
"T12",11.78,"Pisonia grandis",1,8.48896434634975
